match_id,player_name,x,y,is_goal,xg_predicted
10,Jayden Bogle,77.8,35.6,0,0.2527757447267396
10,Anton Stach,95.7,40.3,0,0.5982645289073686
11,Lucas Paquetá,75.4,72.9,1,0.12740672417025944
11,João Pedro,96.7,50.6,1,0.6284825290338105
11,Tomás Soucek,91.8,32.7,0,0.400350759945547
11,Liam Delap,90.6,40.3,0,0.4627860321072321
11,Pedro Neto,93.8,56.5,1,0.5654150676724488
11,João Pedro,72.5,47.4,0,0.6037173578694105
11,Enzo Fernández,96.4,52.0,1,0.6377636372367934
11,Lucas Paquetá,81.8,49.7,0,0.6636845038470625
11,Jarrod Bowen,91.5,28.9,0,0.3505570049626215
11,Jarrod Bowen,90.7,34.5,0,0.3929552638906537
11,Enzo Fernández,87.3,52.1,0,0.5896186221542412
11,Moisés Caicedo,93.1,44.3,1,0.5576405090936379
11,João Pedro,91.7,53.6,0,0.5657790995789643
11,Trevoh Chalobah,95.7,48.4,1,0.6239214270192138
11,Enzo Fernández,82.7,37.8,0,0.3246142007192947
11,Callum Wilson,91.8,57.4,0,0.5145442322733079
11,Tomás Soucek,90.8,41.9,0,0.488007843028199
11,Kyle Walker-Peters,97.4,35.2,0,0.6169319325388436
11,Estêvão,87.1,48.3,0,0.6019594733943368
11,Nayef Aguerd,91.1,54.0,0,0.5543453964856717
11,Nayef Aguerd,91.5,56.0,0,0.5278537775939481
11,James Ward-Prowse,79.7,39.1,0,0.33390552290645614
11,Maximilian Kilman,95.8,46.4,0,0.6288488499149033
11,Pedro Neto,84.2,29.8,0,0.22449010184191498
12,Pedro Porro,80.0,69.3,0,0.19396666304170523
12,Pedro Porro,84.6,68.5,0,0.24918081870440192
12,Omar Marmoush,96.0,71.7,0,0.4890057561303437
12,Omar Marmoush,79.3,70.9,0,0.17049549375891174
12,Tijjani Reijnders,81.2,54.4,0,0.5201035455219162
12,Omar Marmoush,88.9,45.0,0,0.5196364611868877
12,Brennan Johnson,88.7,52.8,1,0.5703926931805275
12,João Palhinha,88.7,42.3,1,0.46561227575649206
12,Nathan Aké,89.6,60.5,0,0.4339728707214204
12,Erling Haaland,95.2,48.5,0,0.6186879356278692
12,Pape Matar Sarr,90.6,58.5,0,0.47912582517287894
12,Richarlison,91.2,58.3,0,0.4922523158263838
12,Brennan Johnson,79.3,72.4,0,0.15519297648011401
12,Richarlison,92.0,60.5,0,0.4823756849357064
12,Richarlison,93.0,60.8,0,0.5044193751756612
12,Rico Lewis,76.5,44.8,0,0.4963437615128178
12,Rodri,91.4,43.2,0,0.5154626451803763
12,Phil Foden,92.6,55.3,0,0.5532079732885133
12,Phil Foden,75.4,59.9,0,0.34661779991390945
12,Wilson Odobert,86.1,47.0,0,0.563241315388747
12,Dominic Solanke,87.7,39.3,0,0.4022720269226649
12,Wilson Odobert,90.1,58.1,0,0.47704069467970145
13,David Brooks,89.9,36.2,0,0.3957599043177727
13,Marshall Munetsi,87.6,44.9,0,0.5103352005321401
13,Marcus Tavernier,89.5,68.1,1,0.33556652734316345
13,Antoine Semenyo,97.1,51.7,0,0.6516589201860433
13,David Brooks,72.3,46.1,0,0.5529270400576849
13,Jørgen Strand Larsen,89.9,49.5,0,0.6323440032970239
13,Jean-Ricner Bellegarde,79.2,32.0,0,0.2046924654486044
13,Jhon Arias,90.8,58.5,0,0.4825256820019974
13,Alex Scott,79.1,43.3,0,0.4456001027213038
13,David Brooks,84.9,31.0,0,0.2470502212206659
13,Marcus Tavernier,80.6,48.0,0,0.6050325424241736
13,Antoine Semenyo,90.8,54.4,0,0.5449436136561246
13,Emmanuel Agbadou,81.1,61.7,0,0.32366054669789307
13,Antoine Semenyo,92.7,70.3,0,0.3929383054096663
13,Tyler Adams,77.1,44.3,0,0.47830852248485756
13,Ryan Christie,84.6,46.0,0,0.5328036881913941
13,Justin Kluivert,71.4,62.5,0,0.2726944763937201
13,Antoine Semenyo,87.2,62.4,0,0.36860019235082314
13,Justin Kluivert,77.6,43.9,0,0.4645391176916326
13,Hugo Bueno,83.0,56.8,0,0.44960727925678473
14,Mikkel Damsgaard,92.7,69.2,0,0.40494917939443026
14,Dango Ouattara,89.9,58.1,0,0.4741332512300465
14,Dango Ouattara,95.1,54.0,1,0.6108762525117458
14,Youri Tielemans,75.5,64.2,0,0.24656314553452363
