player_name,team,position,cluster
Dixon,Everton,DEF,1
Welch,Everton,DEF,1
Bates,Everton,MID,1
Ebere,Everton,MID,1
Heath,Everton,MID,1
Metcalfe,Everton,MID,1
Y.Chermiti,Everton,FWD,1
Sherif,Everton,FWD,1
Benda,Fulham,GKP,1
Amissah,Fulham,DEF,1
Andreas,Fulham,MID,1
Godo,Fulham,MID,1
Harris,Fulham,MID,1
Meslier,Leeds,GKP,1
Cairns,Leeds,GKP,1
Schmidt,Leeds,DEF,1
Greenwood,Leeds,MID,1
Ramazani,Leeds,MID,1
Crew,Leeds,MID,1
Gelhardt,Leeds,MID,1
Gyabi,Leeds,MID,1
Bamford,Leeds,FWD,1
Mateo Joseph,Leeds,FWD,1
Pécsi,Liverpool,GKP,1
Woodman,Liverpool,GKP,1
Tsimikas,Liverpool,DEF,1
Nallo,Liverpool,DEF,1
R.Williams,Liverpool,DEF,1
Ramsay,Liverpool,DEF,1
Luis Díaz,Liverpool,MID,1
Bajcetic,Liverpool,MID,1
McConnell,Liverpool,MID,1
Morton,Liverpool,MID,1
Darwin,Liverpool,FWD,1
Danns,Liverpool,FWD,1
Ederson M.,Man City,GKP,1
Bettinelli,Man City,GKP,1
Akanji,Man City,DEF,1
Vitor Reis,Man City,DEF,1
Gündoğan,Man City,MID,1
Echeverri,Man City,MID,1
Nypan,Man City,MID,1
Phillips,Man City,MID,1
Onana,Man Utd,GKP,1
Harrison,Man Utd,GKP,1
Heaton,Man Utd,GKP,1
Mee,Man Utd,GKP,1
D.Leon,Man Utd,DEF,1
Amass,Man Utd,DEF,1
Rashford,Man Utd,MID,1
Antony,Man Utd,MID,1
Collyer,Man Utd,MID,1
Fitzgerald,Man Utd,MID,1
Kone,Man Utd,MID,1
Moorhouse,Man Utd,MID,1
Højlund,Man Utd,FWD,1
Obi,Man Utd,FWD,1
Wheatley,Man Utd,FWD,1
Gillespie,Newcastle,GKP,1
Odysseas,Newcastle,GKP,1
Krafth,Newcastle,DEF,1
Ashby,Newcastle,DEF,1
Pivas,Newcastle,DEF,1
Targett,Newcastle,DEF,1
Antoñito C.,Newcastle,MID,1
Hayden,Newcastle,MID,1
Kuol,Newcastle,MID,1
White,Newcastle,MID,1
Neave,Newcastle,FWD,1
C.Miguel,Nott'm Forest,GKP,1
Turner,Nott'm Forest,GKP,1
David Carmo,Nott'm Forest,DEF,1
O.Richards,Nott'm Forest,DEF,1
Boly,Nott'm Forest,DEF,1
O'Brien,Nott'm Forest,MID,1
Da Silva Moreira,Nott'm Forest,MID,1
Stamenic,Nott'm Forest,MID,1
Patterson,Sunderland,GKP,1
Moore,Sunderland,GKP,1
Nna Noukeu,Sunderland,GKP,1
Alese,Sunderland,DEF,1
Anderson,Sunderland,DEF,1
Hjelde,Sunderland,DEF,1
Huggins,Sunderland,DEF,1
Johnson,Sunderland,DEF,1
Pembele,Sunderland,DEF,1
Aleksić,Sunderland,MID,1
Poveda,Sunderland,MID,1
Ba,Sunderland,MID,1
Browne,Sunderland,MID,1
Ekwah,Sunderland,MID,1
H.Jones,Sunderland,MID,1
Matete,Sunderland,MID,1
Triantis,Sunderland,MID,1
Abdullahi,Sunderland,FWD,1
Luís Hemir,Sunderland,FWD,1
Rusyn,Sunderland,FWD,1
Austin,Spurs,GKP,1
Kinsky,Spurs,GKP,1
Phillips,Spurs,DEF,1
Takai,Spurs,DEF,1
Vuskovic,Spurs,DEF,1
Son,Spurs,MID,1
Maddison,Spurs,MID,1
Kulusevski,Spurs,MID,1
Solomon,Spurs,MID,1
Bryan,Spurs,MID,1
Moore,Spurs,MID,1
Min-hyeok,Spurs,MID,1
Lankshear,Spurs,FWD,1
Foderingham,West Ham,GKP,1
Hegyi,West Ham,GKP,1
Emerson,West Ham,DEF,1
Casey,West Ham,DEF,1
Álvarez,West Ham,MID,1
Cornet,West Ham,MID,1
Orford,West Ham,MID,1
Bentley,Wolves,GKP,1
King,Everton,GKP,1
Meupiyou,Wolves,DEF,1
Pond,Wolves,DEF,1
Guedes,Wolves,MID,1
B.Traore,Wolves,MID,1
Gonzalez,Wolves,MID,1
Hodge,Wolves,MID,1
Fábio Silva,Wolves,FWD,1
Chiwome,Wolves,FWD,1
Fraser,Wolves,FWD,1
Lecomte,Fulham,GKP,1
Aznou,Everton,DEF,1
Rees-Dottin,Bournemouth,MID,1
Wright,Aston Villa,GKP,1
Seung soo,Newcastle,MID,1
Cardines,Crystal Palace,MID,1
Leoni,Liverpool,DEF,1
Rowe,Aston Villa,DEF,1
Proctor,Aston Villa,GKP,1
Onyango,Everton,MID,1
Campbell,Everton,DEF,1
Patterson,Aston Villa,DEF,1
Harriman-Annous,Arsenal,MID,1
Cuiabano,Nott'm Forest,DEF,1
Fabianski,West Ham,GKP,1
Mfuni,Man City,DEF,1
Gray,Leeds,FWD,1
McAidoo,Man City,MID,1
Emenalo,Chelsea,MID,1
Morrison,Liverpool,MID,1
Dasilva,Brentford,MID,1
